sector,business_name,week,engagement_rate,engagement,posts_count,likes_count,comments_count,views_count,rolling_engagement_rate,business_growth,trend_class,n_states,final_trend_class
Cafes/Restaurants,KFC Palestine,2023-09-11/2023-09-17,0.0243405676126878,1458.0,1,1449.0,9.0,451000.0,0.014028937117417867,-0.2622183201638867,declining,3,inconsistent
Cafes/Restaurants,KFC Palestine,2025-11-17/2025-11-23,0.0145742904841402,873.0,1,863.0,10.0,2200000.0,0.0136672231496939,-0.025783419278063047,stable,3,inconsistent
Cafes/Restaurants,Mazaj Oriental - مزاج الشرقي,2023-01-30/2023-02-05,0.0046052631578947,105.0,1,103.0,2.0,4278.0,0.0046052631578947,0.0,stable,3,inconsistent
Cafes/Restaurants,Mazaj Oriental - مزاج الشرقي,2023-03-06/2023-03-12,4.385964912280701e-05,1.0,1,0.0,1.0,747.0,0.0023245614035087535,-0.49523809523809526,declining,3,inconsistent
Cafes/Restaurants,Mazaj Oriental - مزاج الشرقي,2023-03-20/2023-03-26,0.0079166666666666,180.5,2,354.0,7.0,16358.0,0.004188596491228036,0.8018867924528297,improving,3,inconsistent
Cafes/Restaurants,Mazaj Oriental - مزاج الشرقي,2023-04-03/2023-04-09,0.0254824561403508,581.0,1,576.0,5.0,15700.0,0.011147660818713401,1.6614310645724357,improving,3,inconsistent
Cafes/Restaurants,Mazaj Oriental - مزاج الشرقي,2023-04-10/2023-04-16,0.0228070175438596,520.0,1,516.0,4.0,12800.0,0.018735380116958997,0.6806557377049194,improving,3,inconsistent
Cafes/Restaurants,Mazaj Oriental - مزاج الشرقي,2023-05-01/2023-05-07,0.009298245614035,212.0,1,209.0,3.0,6643.0,0.019195906432748464,0.024580569644947037,stable,3,inconsistent
Cafes/Restaurants,Mazaj Oriental - مزاج الشرقي,2023-05-15/2023-05-21,0.0164473684210526,375.0,1,371.0,4.0,12400.0,0.01618421052631573,-0.15689261233815666,declining,3,inconsistent
Cafes/Restaurants,Mazaj Oriental - مزاج الشرقي,2023-05-29/2023-06-04,0.0063157894736842,144.0,1,140.0,4.0,14400.0,0.010687134502923933,-0.33965672990063267,declining,3,inconsistent
Cafes/Restaurants,Mazaj Oriental - مزاج الشرقي,2023-06-12/2023-06-18,0.0099561403508771,227.0,1,224.0,3.0,7084.0,0.010906432748537967,0.020519835841313228,stable,3,inconsistent
Cafes/Restaurants,Mazaj Oriental - مزاج الشرقي,2023-06-26/2023-07-02,0.0818421052631579,1866.0,1,1858.0,8.0,61000.0,0.03270467836257306,1.9986595174262827,improving,3,inconsistent
Cafes/Restaurants,Mazaj Oriental - مزاج الشرقي,2023-07-17/2023-07-23,0.005438596491228,124.0,1,122.0,2.0,5456.0,0.03241228070175433,-0.008940545373268383,stable,3,inconsistent
Cafes/Restaurants,Mazaj Oriental - مزاج الشرقي,2023-07-24/2023-07-30,0.0089473684210526,204.0,1,201.0,3.0,6885.0,0.032076023391812834,-0.010374379792511657,stable,3,inconsistent
Cafes/Restaurants,Mazaj Oriental - مزاج الشرقي,2023-09-11/2023-09-17,0.0089254385964912,203.5,2,400.0,7.0,17433.0,0.007770467836257265,-0.7577484047402017,declining,3,inconsistent
Cafes/Restaurants,Mazaj Oriental - مزاج الشرقي,2023-09-25/2023-10-01,0.0140350877192982,320.0,1,315.0,5.0,16800.0,0.010635964912280665,0.3687676387582346,improving,3,inconsistent
Cafes/Restaurants,Noor Restaurant and Cafe,2026-02-16/2026-02-22,0.0,0.0,1,0.0,0.0,100000.0,0.0,0.0,stable,3,inconsistent
Cafes/Restaurants,Noor Restaurant and Cafe,2026-02-23/2026-03-01,0.00066,16.5,2,33.0,0.0,10000.0,0.00033,0.0,stable,3,inconsistent
Cafes/Restaurants,Noor Restaurant and Cafe,2026-03-02/2026-03-08,8e-05,2.0,2,1.0,3.0,226000.0,0.0002466666666666667,-0.2525252525252525,declining,3,inconsistent
Cafes/Restaurants,Noor Restaurant and Cafe,2026-03-09/2026-03-15,0.0008815151515151484,36.0,3,91.0,17.0,0.0,0.0005405050505050495,1.191236691236687,improving,3,inconsistent
Cafes/Restaurants,Noor Restaurant and Cafe,2026-03-16/2026-03-22,0.00020181818181815,8.5,2,17.0,0.0,15000.0,0.00038777777777776614,-0.28256400672773463,declining,3,inconsistent
Cafes/Restaurants,Noor Restaurant and Cafe,2026-03-23/2026-03-29,0.001399090909090897,38.0,3,110.0,4.0,10000.0,0.0008274747474747318,1.1338890336025242,improving,3,inconsistent
Cafes/Restaurants,Noor Restaurant and Cafe,2026-03-30/2026-04-05,0.00025,11.0,1,10.0,1.0,0.0,0.0006169696969696824,-0.25439453125000355,declining,3,inconsistent
Cafes/Restaurants,Noor Restaurant and Cafe,2026-04-06/2026-04-12,0.0021454545454545454,54.5,2,108.0,1.0,15000.0,0.0012648484848484809,1.0500982318271541,improving,3,inconsistent
Cafes/Restaurants,Noor Restaurant and Cafe,2026-04-13/2026-04-19,0.0023654545454545243,72.66666666666667,3,216.0,2.0,0.0,0.0015869696969696898,0.2546717776712968,improving,3,inconsistent
Cafes/Restaurants,Noor Restaurant and Cafe,2026-04-20/2026-04-26,0.0012731818181818,54.5,2,109.0,0.0,426.0,0.0019280303030302897,0.2149131181974384,improving,3,inconsistent
Cafes/Restaurants,Noor Restaurant and Cafe,2026-04-27/2026-05-03,0.0009696969696969636,42.666666666666664,3,127.0,1.0,426.0,0.001536111111111096,-0.2032743942370685,declining,3,inconsistent
Cafes/Restaurants,Noor Restaurant and Cafe,2026-05-04/2026-05-10,6.272727272727273e-05,2.0,3,4.0,2.0,0.0,0.0007685353535353454,-0.4996876541180342,declining,3,inconsistent
Cafes/Restaurants,Orgada Burgers,2026-03-09/2026-03-15,0.0001717791411042,28.0,1,28.0,0.0,14000.0,0.0001717791411042,0.0,stable,3,inconsistent
Cafes/Restaurants,Orgada Burgers,2026-04-13/2026-04-19,0.0002474437627811757,40.333333333333336,3,95.0,26.0,30300.0,0.00020961145194268785,0.22023809523846127,improving,3,inconsistent
Cafes/Restaurants,Orgada Burgers,2026-04-20/2026-04-26,5.5214723926380366e-05,9.0,1,9.0,0.0,0.0,0.000158145875937252,-0.24552845528453093,declining,3,inconsistent
Cafes/Restaurants,Orgada Burgers,2026-04-27/2026-05-03,6.595092024539877e-05,10.75,4,40.0,3.0,0.0,0.0001228698023176516,-0.2230603448274363,declining,3,inconsistent
Cafes/Restaurants,Pardo Cafe,2026-04-27/2026-05-03,0.0033783783783783,25.0,1,25.0,0.0,5412.0,0.0033783783783783,0.0,stable,2,stable
Cafes/Restaurants,Pardo Cafe,2026-05-04/2026-05-10,0.011554054054053998,85.5,2,171.0,0.0,25000.0,0.0074662162162161495,1.2100000000000315,improving,2,improving
Cafes/Restaurants,REXOS Café & Restaurant,2024-12-02/2024-12-08,0.0003333333333333,14.0,1,14.0,0.0,0.0,0.0003333333333333,0.0,stable,3,inconsistent
Cafes/Restaurants,REXOS Café & Restaurant,2025-04-28/2025-05-04,0.0001428571428571,6.0,1,6.0,0.0,0.0,0.00023809523809519999,-0.28571428571432855,declining,3,inconsistent
Cafes/Restaurants,REXOS Café & Restaurant,2025-06-02/2025-06-08,0.0001666666666666,7.0,1,7.0,0.0,0.0,0.00021428571428566668,-0.10000000000005593,declining,3,inconsistent
Cafes/Restaurants,REXOS Café & Restaurant,2025-07-07/2025-07-13,2.380952380952381e-05,1.0,1,1.0,0.0,0.0,0.0001111111111110746,-0.4814814814815367,declining,3,inconsistent
Cafes/Restaurants,REXOS Café & Restaurant,2025-12-08/2025-12-14,0.0083333333333333,350.0,1,66.0,284.0,0.0,0.002841269841269808,24.571428571436673,improving,3,inconsistent
Cafes/Restaurants,REXOS Café & Restaurant,2025-12-15/2025-12-21,0.0050238095238095,211.0,1,11.0,200.0,0.0,0.004460317460317441,0.5698324022346486,improving,3,inconsistent
Cafes/Restaurants,REXOS Café & Restaurant,2025-12-22/2025-12-28,0.0001428571428571,6.0,1,6.0,0.0,0.0,0.004499999999999967,0.00889679715302183,stable,3,inconsistent
Cafes/Restaurants,REXOS Café & Restaurant,2026-02-16/2026-02-22,7.142857142857143e-05,3.0,1,3.0,0.0,0.0,0.0017460317460317237,-0.6119929453262807,declining,3,inconsistent
Cafes/Restaurants,REXOS Café & Restaurant,2026-03-09/2026-03-15,2.380952380952381e-05,1.0,1,1.0,0.0,0.0,7.936507936506508e-05,-0.9545454545454621,declining,3,inconsistent
Cafes/Restaurants,REXOS Café & Restaurant,2026-04-06/2026-04-12,0.00053571428571425,22.5,2,39.0,6.0,4700.0,0.00021031746031744842,1.6500000000003272,improving,3,inconsistent
Cafes/Restaurants,REXOS Café & Restaurant,2026-04-13/2026-04-19,0.04466666666666665,1876.0,3,5608.0,20.0,14000.0,0.01507539682539681,70.67924528302285,improving,3,inconsistent
Cafes/Restaurants,REXOS Café & Restaurant,2026-04-20/2026-04-26,0.00076190476190474,32.0,5,142.0,18.0,7361.0,0.015321428571428548,0.016320084232692267,stable,3,inconsistent
Cafes/Restaurants,REXOS Café & Restaurant,2026-04-27/2026-05-03,0.0005476190476190001,23.0,3,66.0,3.0,1600.0,0.015325396825396798,0.00025900025899994183,stable,3,inconsistent
