month,posts_count,engagement_mean,engagement_rate_mean,view_rate_mean,comment_rate_mean
11,81,2514.1111111111113,0.1627850147815492,1.4906412324558314,0.013212970670864006
7,78,2390.7948717948716,0.15872785292133096,1.4412925528506666,0.015254960514158488
12,97,1748.319587628866,0.15221982296176945,1.4519616441843424,0.012173236121545415
10,87,2117.2758620689656,0.15215175265097117,1.3869283171068056,0.012462817364811182
4,74,1682.4054054054054,0.14186563166442936,1.2214116672300896,0.012105818899554106
2,84,2300.8928571428573,0.13521498739357604,1.3713356386342468,0.011161714932290664
6,89,1631.6516853932585,0.12387025747791527,1.1051352396449379,0.010192118964974692
3,86,1879.6162790697674,0.12314246251696112,1.124711034414306,0.010194605751277862
8,91,1307.2087912087911,0.11662655673094954,1.1285728888342368,0.010276206980754496
5,87,1227.0804597701149,0.11549598275559447,1.2498546046983097,0.009788523409624461
1,83,2120.3132530120483,0.1135312928813219,1.1318178393059912,0.010452938855266936
9,63,1846.3968253968253,0.10174306406483632,1.1605109024339364,0.007794362579289919
