model,setting,silhouette,davies_bouldin,calinski_harabasz,clusters,noise_ratio,composite_score
kmeans,k=10,0.1464109014050701,1.5704373052137677,154.02358440517372,10,0.0,4.032331007412631
kmeans,k=9,0.15473797612730614,1.530453598344412,163.42537982497785,9,0.0,4.013418923321293
kmeans,k=8,0.1482238912723595,1.5366309523107566,172.98859438270455,8,0.0,3.8801126117854676
kmeans,k=7,0.15673094843067706,1.5432172980662708,183.40283135039883,7,0.0,3.83735118595182
kmeans,k=3,0.20061618653974467,1.8275111926053083,264.94110847293905,3,0.0,3.767804119415506
kmeans,k=6,0.1532474082506306,1.6331419730875805,193.86929181490927,6,0.0,3.6718125757108453
kmeans,k=4,0.1797401595579764,1.742012495382985,225.67885863924164,4,0.0,3.637046341569612
kmeans,k=5,0.1512442045394557,1.7616900020197144,206.69519375151415,5,0.0,3.5022410506118815
gmm,"components=3,cov=diag",0.17735219322195825,1.8805464159905678,242.0096368006832,3,0.0,3.4774563478514535
gmm,"components=10,cov=tied",0.11861125137803319,1.8663748123807946,114.94753187097841,10,0.0,3.47192881992388
gmm,"components=9,cov=tied",0.11975328966197489,1.758533960500798,127.01336193941066,9,0.0,3.470072740914494
gmm,"components=3,cov=tied",0.20741443302533435,1.6321945170983991,167.28631204450554,3,0.0,3.4132531377993613
gmm,"components=8,cov=tied",0.11984193792549565,1.9071945022139025,125.6918514968958,8,0.0,3.2240191205921254
gmm,"components=3,cov=full",0.16143906777030134,1.9208430248120678,209.2458234837646,3,0.0,3.1851953126392445
gmm,"components=7,cov=tied",0.12515479961121828,1.8478740714277022,125.01753408220758,7,0.0,3.1466524755317895
gmm,"components=5,cov=tied",0.15796422562483486,1.7613980759891017,131.14777689972308,5,0.0,3.138287109499737
gmm,"components=4,cov=tied",0.15790115131622445,1.8543713952188385,151.11122133140015,4,0.0,3.041039751480805
gmm,"components=6,cov=tied",0.11976790631792668,1.831572903081236,121.76897773182043,6,0.0,2.9661369419233954
gmm,"components=5,cov=diag",0.0986952880727637,1.92603026893085,159.2948881808049,5,0.0,2.840880957636261
gmm,"components=9,cov=diag",0.08463688406500695,2.3521505785170325,107.94920233276582,9,0.0,2.780775093602357
gmm,"components=10,cov=full",0.03484466348270949,1.9798708742046873,77.35763036560596,10,0.0,2.7166281083205424
gmm,"components=4,cov=diag",0.10832114793211813,2.1698627039647453,176.854054049009,4,0.0,2.688374711309634
gmm,"components=7,cov=full",0.08058789493514709,2.126579572920942,91.9184577853998,7,0.0,2.5330148849744725
gmm,"components=7,cov=diag",0.07397736169120256,2.2661970490055108,109.71260588190792,7,0.0,2.4991263138458435
gmm,"components=10,cov=diag",0.05151358873595146,2.652444627947987,100.40821971049499,10,0.0,2.497933171008013
gmm,"components=9,cov=full",0.05803790726435607,2.4698417650280278,85.56795725415242,9,0.0,2.432166038971081
gmm,"components=6,cov=full",0.08632180995404803,2.4131478579395442,122.11163372514328,6,0.0,2.397719306043565
gmm,"components=5,cov=full",0.07640766306004372,2.0552679718247795,110.25638624641164,5,0.0,2.367417748132421
gmm,"components=6,cov=diag",0.07300536093834913,2.3253533144923177,118.08276222153641,6,0.0,2.3568433937592372
gmm,"components=4,cov=full",0.09275503068878939,2.1961495216657605,128.9876273852783,4,0.0,2.3267046138073413
gmm,"components=8,cov=full",0.057250758557273795,2.489360400062823,91.55983059531869,8,0.0,2.304039107685466
gmm,"components=8,cov=diag",0.03330481417655726,3.0684160367234288,101.52458605487523,8,0.0,1.8431187860098734
