sector,posts_count,engagement_mean,engagement_rate_mean,view_rate_mean,comment_rate_mean
Supermarkets,51,427.80392156862746,0.1756560239114855,9.17085510102635,0.002852424506174804
Influencers,80,68138.1375,0.012682563050239234,0.4107431140350878,0.0003106634529505582
Gym,39,123.71794871794872,0.010604898433911183,1.4302513204786123,6.569349195127434e-05
Cafes/Restaurants,228,258.1578947368421,0.007875594842092692,8.909401337973346,0.00029946879299709654
Fashion,258,43.02713178294574,0.0031181688469908604,2.6995114671809826,0.0002038496283331639
