source_row,view_rate,view_rate_bin,hashtags,transaction,hashtag_count
228,0.3111111111111111,avg_view_rate,hashtag=رام_الله|hashtag=ملابس|hashtag=عيد|hashtag=عرض,hashtag=رام_الله|hashtag=ملابس|hashtag=عيد|hashtag=عرض|avg_view_rate,4
229,0.11066666666666666,avg_view_rate,hashtag=فستان|hashtag=اميرة|hashtag=رام_الله|hashtag=عرض,hashtag=فستان|hashtag=اميرة|hashtag=رام_الله|hashtag=عرض|avg_view_rate,4
230,0.14755555555555555,avg_view_rate,hashtag=طقم|hashtag=رام_الله|hashtag=ملابس,hashtag=طقم|hashtag=رام_الله|hashtag=ملابس|avg_view_rate,3
231,0.11777777777777777,avg_view_rate,hashtag=فستان|hashtag=رام_الله|hashtag=ملابس,hashtag=فستان|hashtag=رام_الله|hashtag=ملابس|avg_view_rate,3
232,0.118,avg_view_rate,hashtag=فستان|hashtag=رام_الله|hashtag=ملابس|hashtag=عرض,hashtag=فستان|hashtag=رام_الله|hashtag=ملابس|hashtag=عرض|avg_view_rate,4
233,0.13466666666666666,avg_view_rate,hashtag=طقم|hashtag=رام_الله|hashtag=ملابس,hashtag=طقم|hashtag=رام_الله|hashtag=ملابس|avg_view_rate,3
234,1.0435729847494553,high_view_rate,hashtag=حملة_جراند_أكبر_وأوفر,hashtag=حملة_جراند_أكبر_وأوفر|high_view_rate,1
236,1.0435729847494553,high_view_rate,hashtag=جراند_أكبر_وأوفر,hashtag=جراند_أكبر_وأوفر|high_view_rate,1
240,1.0435729847494553,high_view_rate,hashtag=حملة_جراند_أكبر_وأوفر,hashtag=حملة_جراند_أكبر_وأوفر|high_view_rate,1
241,1.0435729847494553,high_view_rate,hashtag=حملة_جراند_أكبر_وأوفر,hashtag=حملة_جراند_أكبر_وأوفر|high_view_rate,1
242,1.0435729847494553,high_view_rate,hashtag=حملة_جراند_أكبر_وأوفر,hashtag=حملة_جراند_أكبر_وأوفر|high_view_rate,1
243,1.0435729847494553,high_view_rate,hashtag=حملة_جراند_أكبر_وأوفر,hashtag=حملة_جراند_أكبر_وأوفر|high_view_rate,1
261,4.0,high_view_rate,hashtag=البسة,hashtag=البسة|high_view_rate,1
302,0.4028776978417266,avg_view_rate,hashtag=فانيلا_اليوم_وكل_يوم,hashtag=فانيلا_اليوم_وكل_يوم|avg_view_rate,1
303,0.4028776978417266,avg_view_rate,hashtag=عيدالفطرالمبارك|hashtag=فانيلا_اليوم_وكل_يوم,hashtag=عيدالفطرالمبارك|hashtag=فانيلا_اليوم_وكل_يوم|avg_view_rate,2
304,0.4028776978417266,avg_view_rate,hashtag=فانيلا_اليوم_وكل_يوم,hashtag=فانيلا_اليوم_وكل_يوم|avg_view_rate,1
308,0.4028776978417266,avg_view_rate,hashtag=vanilla_today_and_everyday|hashtag=frenchtoastcup,hashtag=vanilla_today_and_everyday|hashtag=frenchtoastcup|avg_view_rate,2
309,0.4028776978417266,avg_view_rate,hashtag=vanilla_today_and_everyday|hashtag=dessert|hashtag=vanilla_cake|hashtag=japanese_jelly_coffee,hashtag=vanilla_today_and_everyday|hashtag=dessert|hashtag=vanilla_cake|hashtag=japanese_jelly_coffee|avg_view_rate,4
310,0.4028776978417266,avg_view_rate,hashtag=vanilla_today_and_everyday|hashtag=dessert|hashtag=vanilla_cake|hashtag=matcha,hashtag=vanilla_today_and_everyday|hashtag=dessert|hashtag=vanilla_cake|hashtag=matcha|avg_view_rate,4
