post_type,posts_count,engagement_mean,engagement_rate_mean,view_rate_mean,comment_rate_mean
reel,463,11892.861771058315,0.02522426989027975,2.884111679166479,0.0005036213897369326
Image,95,161.29473684210527,0.007435301257387234,4.910931174089069,0.00037884368960983676
Reel,84,298.8452380952381,0.006175303341327257,17.646287563951088,8.245334379050193e-05
post,14,59.57142857142857,0.005918602116100771,0.0,0.0012619947364869422
