business_name,sector,followers_count,posts_count,engagement,engagement_rate,view_rate,comment_rate,score_engagement_only,score_balanced,score_sector_z,benchmark_score,business_percentile_rank,sector_avg_engagement,sector_avg_engagement_rate,best_post_type,best_post_type_engagement_rate
528 Fashion,Fashion,4500.0,7,1.2857142857142858,0.0002857142857142714,0.11501587301587299,0.0,0.0002857142857142714,0.03464761904761903,-0.5093643361964699,0.03464761904761903,46.15384615384615,43.02713178294574,0.003118168846990835,reel,0.0031384765446857686
99streetwear,Fashion,5200.0,9,3.0,0.0005769230769230111,0.26282051282051283,6.410256410254444e-05,0.0005769230769230111,0.07914743589743585,-0.43972324708228777,0.07914743589743585,65.38461538461539,43.02713178294574,0.003118168846990835,reel,0.0031384765446857686
Abu shukri restaurant-مطعم حمص ابو شكري,Cafes/Restaurants,2900.0,3,71.66666666666667,0.02471264367816083,0.0,0.0051724137931034005,0.02471264367816083,0.013390804597701094,1.3905369807069201,0.013390804597701094,28.57142857142857,258.1578947368421,0.007875594842092663,reel,0.013209017873851984
Ahmed Sh Ajwa,Influencers,15000000.0,1,4454.0,0.0002969333333333,0.0194,1e-05,0.0002969333333333,0.00597046666666665,-0.5776204831455325,0.00597046666666665,35.294117647058826,68138.1375,0.012682563050239196,reel,0.012682563050239196
Al Jazeera English,Influencers,1100000.0,2,9670.0,0.00879090909090905,0.15409090909090906,0.00013181818181815,0.00879090909090905,0.050649090909090866,-0.17854104633067974,0.050649090909090866,70.58823529411765,68138.1375,0.012682563050239196,reel,0.012682563050239196
Angel shop PS,Fashion,14000.0,12,154.83333333333334,0.011059523809523767,3.1196428571428574,0.0016369047619047249,0.011059523809523767,0.94175,1.6048020307666708,0.94175,88.46153846153845,43.02713178294574,0.003118168846990835,reel,0.0031384765446857686
Baby Bump,Fashion,15000.0,10,10.1,0.00067333333333331,0.0,2.666666666666e-05,0.00067333333333331,0.000341999999999987,-0.4564147240309553,0.000341999999999987,7.6923076923076925,43.02713178294574,0.003118168846990835,reel,0.0031384765446857686
Bella Kids,Fashion,5300.0,12,3.1666666666666665,0.0005974842767295334,0.07974842767295595,0.00017295597484276665,0.0005974842767295334,0.0242578616352201,-0.38253874239750907,0.0242578616352201,38.46153846153847,43.02713178294574,0.003118168846990835,reel,0.0031384765446857686
Bravo Supermarket,Supermarkets,18000.0,8,28.0,0.001555555555555507,0.3300902777777777,4.1666666666663894e-05,0.001555555555555507,0.09981319444444439,-0.5290417952063139,0.09981319444444439,60.0,427.80392156862746,0.17565602391148546,reel,0.17565602391148546
EUROMODA,Fashion,14800.0,8,100.0,0.006756756756756712,1.7816216216216216,8.445945945945946e-06,0.006756756756756712,0.537866554054054,0.22419266772629504,0.537866554054054,80.76923076923077,43.02713178294574,0.003118168846990835,reel,0.0031384765446857686
