business_name,sector,followers_count,post_date,posting_hour,day_of_week,month,post_type,caption_text,caption_length,hashtags_count,emoji_count,likes_count,comments_count,views_count,language,CTA_present,promo_post,discount_percent,mentions_location,religious_theme,patriotic_theme,arabic_dialect_style,sponsored,kind,engagement,engagement_rate,like_rate,comment_rate,view_rate,view_engagement_rate,week,is_video,is_reel,posting_time_bin,caption_length_bin,hashtags_count_bin,emoji_count_bin,engagement_level,business_size_bin,high_engagement,high_view_rate,high_comment_rate,cluster_id,cluster_label
Fashion Shop Ramallah,Fashion,16500.0,2026-05-06,0.0,Wednesday,5,reel,#New_colliction #فاشن_شوب_غير_هاي_السنة 😉 👖👚👜🧥 خدمة_التوصيل_متوفرة #عنوان_المحل#دوار_الساعة_شارع_سينما_القصبة_عمارة_الضياء_الشارع_الرئيسي,157,3,28,3.0,0.0,230.0,Arabic-English Mixed,True,False,0.0,True,False,False,True,0.0,,3.0,0.0001818181818181,0.0001818181818181,0.0,0.0139393939393939,0.0130434782608695,2026-05-04/2026-05-10,0,1,night,long,few,many,low,medium,0,0,0,3,cluster_8
Fashion Shop Ramallah,Fashion,16500.0,2026-05-05,0.0,Tuesday,5,reel,#New_colliction #فاشن_شوب_غير_هاي_السنة 😉 👖👚👜🧥 خدمة_التوصيل_متوفرة #عنوان_المحل#دوار_الساعة_شارع_سينما_القصبة_عمارة_الضياء_الشارع_الرئيسي,157,3,28,2.0,0.0,324.0,Arabic-English Mixed,True,False,0.0,True,False,False,True,0.0,,2.0,0.0001212121212121,0.0001212121212121,0.0,0.0196363636363636,0.0061728395061728,2026-05-04/2026-05-10,0,1,night,long,few,many,low,medium,0,0,0,3,cluster_8
Fashion Shop Ramallah,Fashion,16500.0,2026-05-04,0.0,Monday,5,reel,#New_colliction #فاشن_شوب_غير_هاي_السنة 😉 👖👚👜🧥 خدمة_التوصيل_متوفرة #عنوان_المحل#دوار_الساعة_شارع_سينما_القصبة_عمارة_الضياء_الشارع_الرئيسي,157,3,28,0.0,0.0,126.0,Arabic-English Mixed,True,False,0.0,True,False,False,True,0.0,,0.0,0.0,0.0,0.0,0.0076363636363636,0.0,2026-05-04/2026-05-10,0,1,night,long,few,many,low,medium,0,0,0,3,cluster_8
Fashion Shop Ramallah,Fashion,16500.0,2026-05-04,0.0,Monday,5,reel,#New_colliction #فاشن_شوب_غير_هاي_السنة 😉 👖👚👜🧥 خدمة_التوصيل_متوفرة #عنوان_المحل#دوار_الساعة_شارع_سينما_القصبة_عمارة_الضياء_الشارع_الرئيسي,157,3,28,1.0,0.0,196.0,Arabic-English Mixed,True,False,0.0,True,False,False,True,0.0,,1.0,6.0606060606060605e-05,6.0606060606060605e-05,0.0,0.0118787878787878,0.0051020408163265,2026-05-04/2026-05-10,0,1,night,long,few,many,low,medium,0,0,0,3,cluster_8
Fashion Shop Ramallah,Fashion,16500.0,2026-05-03,0.0,Sunday,5,reel,#New_colliction #فاشن_شوب_غير_هاي_السنة 😉 👖👚👜🧥 خدمة_التوصيل_متوفرة #عنوان_المحل#دوار_الساعة_شارع_سينما_القصبة_عمارة_الضياء_الشارع_الرئيسي,157,3,28,2.0,0.0,232.0,Arabic-English Mixed,True,False,30.0,True,False,False,True,0.0,,2.0,0.0001212121212121,0.0001212121212121,0.0,0.014060606060606,0.0086206896551724,2026-04-27/2026-05-03,0,1,night,long,few,many,low,medium,0,0,0,3,cluster_8
Fashion Shop Ramallah,Fashion,16500.0,2026-05-03,0.0,Sunday,5,reel,#New_colliction #فاشن_شوب_غير_هاي_السنة 😉 👖👚👜🧥 خدمة_التوصيل_متوفرة #عنوان_المحل#دوار_الساعة_شارع_سينما_القصبة_عمارة_الضياء_الشارع_الرئيسي,157,3,28,2.0,0.0,207.0,Arabic-English Mixed,True,False,0.0,True,False,False,True,0.0,,2.0,0.0001212121212121,0.0001212121212121,0.0,0.0125454545454545,0.0096618357487922,2026-04-27/2026-05-03,0,1,night,long,few,many,low,medium,0,0,0,3,cluster_8
Fashion Shop Ramallah,Fashion,16500.0,2026-05-02,0.0,Saturday,5,reel,#New_colliction #فاشن_شوب_غير_هاي_السنة 😉 👖👚👜🧥 خدمة_التوصيل_متوفرة #عنوان_المحل#دوار_الساعة_شارع_سينما_القصبة_عمارة_الضياء_الشارع_الرئيسي,157,3,28,0.0,0.0,157.0,Arabic-English Mixed,True,False,0.0,True,False,False,True,0.0,,0.0,0.0,0.0,0.0,0.0095151515151515,0.0,2026-04-27/2026-05-03,0,1,night,long,few,many,low,medium,0,0,0,3,cluster_8
Grand Stores Mall,Fashion,43000.0,2026-05-07,0.0,Thursday,5,reel,New collection 2026. ❤️🔥 تشكيلة بجامات رجالي 50 شيكل فقط,58,1,3,0.0,0.0,400.0,Arabic,True,True,0.0,True,False,False,True,0.0,,0.0,0.0,0.0,0.0,0.0093023255813953,0.0,2026-05-04/2026-05-10,0,1,night,short,few,few,low,medium,0,0,0,1,community updates
Grand Stores Mall,Fashion,43000.0,2026-05-07,0.0,Thursday,5,reel,New collection 2026. ❤️🔥 تشكيلة بجامات ولادي 40 شيكل فقط,58,1,3,3.0,0.0,451.0,Arabic,True,True,0.0,True,False,False,True,0.0,,3.0,6.976744186046511e-05,6.976744186046511e-05,0.0,0.0104883720930232,0.0066518847006651,2026-05-04/2026-05-10,0,1,night,short,few,few,low,medium,0,0,0,1,community updates
Grand Stores Mall,Fashion,43000.0,2026-05-07,0.0,Thursday,5,reel,New collection 2026 ✨❤️❤️ تشكيلة بجامات ستاتي 50 شيكل فقط,61,1,4,4.0,0.0,689.0,Arabic,True,True,0.0,True,False,False,True,0.0,,4.0,9.302325581395348e-05,9.302325581395348e-05,0.0,0.0160232558139534,0.0058055152394775,2026-05-04/2026-05-10,0,1,night,medium,few,many,low,medium,0,0,0,1,community updates
Grand Stores Mall,Fashion,43000.0,2026-05-07,0.0,Thursday,5,reel,❤️❤️❤️ تشكيلة أطقم ستاتي فخمة ومميزة,36,1,4,4.0,0.0,470.0,Arabic,True,True,0.0,True,False,False,True,0.0,,4.0,9.302325581395348e-05,9.302325581395348e-05,0.0,0.0109302325581395,0.0085106382978723,2026-05-04/2026-05-10,0,1,night,short,few,many,low,medium,0,0,0,1,community updates
Grand Stores Mall,Fashion,43000.0,2026-05-06,0.0,Wednesday,5,reel,❤️❤️ متوفر داخل جميع الفروع,27,0,2,20.0,0.0,4499.0,Arabic,False,False,0.0,False,False,False,True,0.0,,20.0,0.0004651162790697,0.0004651162790697,0.0,0.1046279069767441,0.0044454323182929,2026-05-04/2026-05-10,0,1,night,short,none,few,medium,medium,0,0,0,1,community updates
Grand Stores Mall,Fashion,43000.0,2026-05-06,0.0,Wednesday,5,reel,الرجالي ٥٠ شيكل الولادي ٤٠ شيكل متوفر داخل جميع الفروع,56,0,0,17.0,0.0,1569.0,Arabic,False,True,0.0,False,False,False,True,0.0,,17.0,0.0003953488372093,0.0003953488372093,0.0,0.0364883720930232,0.0108349267049075,2026-05-04/2026-05-10,0,1,night,short,none,none,medium,medium,0,0,0,1,community updates
Grand Stores Mall,Fashion,43000.0,2026-05-06,0.0,Wednesday,5,reel,🔥❤️ تشكيلة جديدة داخل القسم المنزلي,38,1,2,65.0,0.0,13000.0,Arabic,True,True,0.0,True,False,False,True,0.0,,65.0,0.0015116279069767,0.0015116279069767,0.0,0.3023255813953488,0.005,2026-05-04/2026-05-10,0,1,night,short,few,few,medium,medium,0,0,0,1,community updates
Grand Stores Mall,Fashion,43000.0,2026-05-06,0.0,Wednesday,5,reel,🎀🤍 minigood تشكيلة جديدة داخل قسم,36,1,3,83.0,0.0,15300.0,Mixed,True,True,0.0,True,False,False,True,0.0,,83.0,0.0019302325581395,0.0019302325581395,0.0,0.3558139534883721,0.0054248366013071,2026-05-04/2026-05-10,0,1,night,short,few,few,medium,medium,0,1,0,1,community updates
Grand Stores Mall,Fashion,43000.0,2026-05-07,0.0,Thursday,5,post,🔥❤️ تشكيلة جديدة داخل القسم المنزلي بانتظاركم بكل حب داخل جميع فروع جراند ستورز,83,1,2,0.0,0.0,0.0,Arabic,True,True,0.0,True,False,False,True,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-04/2026-05-10,0,0,night,medium,few,few,low,medium,0,0,0,1,community updates
KOTON Palestine,Fashion,61700.0,2025-02-23,0.0,Sunday,2,reel,منستناكم كل يوم 😍✨,20,0,2,529.0,5.0,105000.0,Arabic,True,False,0.0,False,False,False,True,0.0,,534.0,0.0086547811993517,0.0085737439222042,8.103727714748784e-05,1.701782820097245,0.0050857142857142,2025-02-17/2025-02-23,0,1,night,short,none,few,high,large,1,1,1,1,community updates
KOTON Palestine,Fashion,61700.0,2024-09-29,0.0,Sunday,9,reel,بدكم تكونو من المميزين؟📍 منستناكم كل يوم 🫶 koton koton #kotonkids #kotonesarp #love #adore #trend #music #custome #clothes #shopping #happy #happybirthday #happylife #beuty #fashion #fashionblogger #fashionstyle #hi 😌 #bye,249,15,4,307.0,0.0,106000.0,Arabic/English Mixed,True,True,0.0,True,False,False,True,0.0,,307.0,0.0049756888168557,0.0049756888168557,0.0,1.7179902755267422,0.0028962264150943,2024-09-23/2024-09-29,0,1,night,long,many,many,high,large,1,1,0,0,niche audience posts
KOTON Palestine,Fashion,61700.0,2024-12-23,0.0,Monday,12,reel,تعالو زورونا في فرعنا في ايكون مول 📍✨,38,0,2,988.0,0.0,167000.0,Arabic,True,True,0.0,True,False,False,True,0.0,,988.0,0.0160129659643436,0.0160129659643436,0.0,2.706645056726094,0.0059161676646706,2024-12-23/2024-12-29,0,1,night,short,none,few,high,large,1,1,0,1,community updates
