metric,value
input_rows,656
cleaned_rows,656
chosen_threshold_method,existing_engagement_level
chosen_min_weight,5
nodes_count,65
edges_count,190
engagement_level_low_engagement,219
engagement_level_medium_engagement,218
engagement_level_high_engagement,219
