week,total_engagement,avg_engagement_rate,total_likes,total_comments,total_views,total_posts,engagement_growth,trend_class
2025-01-13/2025-01-19,13794.0,0.01498741258741255,13614.0,180.0,206000.0,2,-0.9034844668345928,declining
2025-01-20/2025-01-26,1362.0,0.0006362457912457685,1346.0,16.0,44600.0,2,-0.9012614180078296,declining
2025-02-03/2025-02-09,4699.0,0.00239308011623075,4639.0,60.0,191717.0,2,2.4500734214390603,improving
2025-02-17/2025-02-23,539.0,0.0043582547972067145,533.0,6.0,105000.0,2,-0.8852947435624601,declining
2025-02-24/2025-03-02,290.0,0.002724267964742838,281.0,9.0,15811.0,5,-0.46196660482374763,declining
2025-03-03/2025-03-09,1757.0,0.00641520383693045,1746.0,11.0,118376.0,6,5.058620689655172,improving
2025-03-10/2025-03-16,460.0,0.004206330935251775,456.0,4.0,22118.0,4,-0.7381900967558338,declining
2025-03-17/2025-03-23,132.0,0.0017053237410071945,127.0,5.0,7677.0,3,-0.7130434782608696,declining
2025-03-31/2025-04-06,3.0,0.0003113325031133,3.0,0.0,1867.0,1,-0.9772727272727273,declining
2025-04-07/2025-04-13,335.0,0.0067,333.0,2.0,22900.0,2,110.66666666666667,improving
2025-04-21/2025-04-27,1420.0,0.007076258992805749,1420.0,0.0,5864.0,2,3.2388059701492535,improving
2025-04-28/2025-05-04,1209.0,0.00175950668036998,1206.0,3.0,20700.0,5,-0.14859154929577467,declining
2025-05-05/2025-05-11,221.0,0.0011783504223316296,218.0,3.0,335860.0,26,-0.8172043010752688,declining
2025-05-19/2025-05-25,1275.0,0.0228085867620751,1275.0,0.0,1900000.0,1,4.769230769230769,improving
2025-06-02/2025-06-08,2252.0,0.005439248601119033,2207.0,45.0,0.0,3,0.7662745098039216,improving
2025-06-16/2025-06-22,774.0,0.03096,774.0,0.0,43500.0,1,-0.6563055062166963,declining
2025-06-23/2025-06-29,593.0,0.0042661870503597,580.0,13.0,0.0,1,-0.23385012919896642,declining
2025-07-07/2025-07-13,1.0,2.380952380952381e-05,1.0,0.0,0.0,1,-0.9983136593591906,declining
2025-07-14/2025-07-20,32.0,0.00550879022646005,31.0,1.0,5292.0,2,31.0,improving
2025-07-21/2025-07-27,547.0,0.02188,547.0,0.0,161000.0,1,16.09375,improving
2025-07-28/2025-08-03,241.0,0.0049907692307692006,241.0,0.0,65400.0,2,-0.5594149908592322,declining
2025-08-04/2025-08-10,159.0,0.0025961884942675498,154.0,5.0,310000.0,2,-0.34024896265560167,declining
2025-08-11/2025-08-17,302.0,0.00719189511323,287.0,15.0,240000.0,2,0.89937106918239,improving
2025-08-25/2025-08-31,34.0,0.0075892857142857,34.0,0.0,3106.0,1,-0.8874172185430463,declining
2025-09-22/2025-09-28,14.0,0.0083432657926102,14.0,0.0,0.0,2,-0.5882352941176471,declining
2025-10-13/2025-10-19,4.0,0.0047675804529201,4.0,0.0,0.0,1,-0.7142857142857143,declining
2025-10-20/2025-10-26,258.0,0.008824285714285701,256.0,2.0,54506.0,2,63.5,improving
2025-11-03/2025-11-09,44.0,0.0003165467625899,42.0,2.0,0.0,1,-0.8294573643410853,declining
2025-11-17/2025-11-23,1013.0,0.007590651428303667,985.0,28.0,2204594.0,3,22.022727272727273,improving
2025-11-24/2025-11-30,64.0,0.0022564324049977667,46.0,18.0,5584.0,3,-0.9368213228035538,declining
2025-12-01/2025-12-07,351247.0,0.01161385219700315,333551.0,17696.0,11013436.0,10,5487.234375,improving
2025-12-08/2025-12-14,387.0,0.0069090325130941495,103.0,284.0,5380.0,2,-0.9988982112302739,declining
2025-12-15/2025-12-21,12486.0,0.001243981657848313,12124.0,362.0,800000.0,5,31.263565891472865,improving
2025-12-22/2025-12-28,449754.0,0.016561466794348473,438907.0,10847.0,18829200.0,12,35.02066314271985,improving
2025-12-29/2026-01-04,367518.0,0.010206500768040737,364191.0,3327.0,7938135.0,8,-0.18284662282047515,declining
2026-01-05/2026-01-11,25610.0,0.0039638378298250745,25006.0,604.0,1026599.0,4,-0.9303163382473784,declining
2026-01-12/2026-01-18,399942.0,0.01748525962103594,396736.0,3206.0,21827838.0,5,14.616634127294025,improving
2026-01-19/2026-01-25,169320.0,0.0052542484210526,167687.0,1633.0,7422000.0,5,-0.5766386125988268,declining
2026-01-26/2026-02-01,432435.0,0.0084443590108535,424013.0,8422.0,17839053.0,8,1.553951098511694,improving
2026-02-02/2026-02-08,744024.0,0.027329188292701385,731271.0,12753.0,29416900.0,6,0.7205452842623747,improving
2026-02-09/2026-02-15,13331.0,0.0016712486067741502,13185.0,146.0,928612.0,6,-0.9820825672290141,declining
2026-02-16/2026-02-22,421253.0,0.006366847512063413,405784.0,15469.0,21809734.0,14,30.599504913359837,improving
2026-02-23/2026-03-01,342890.0,0.008304348954815122,335583.0,7307.0,10843000.0,13,-0.18602360101886517,declining
2026-03-02/2026-03-08,74580.0,0.006507880428530326,72287.0,2293.0,7332000.0,8,-0.7824958441482691,declining
2026-03-09/2026-03-15,441047.0,0.004568894282430486,423362.0,17685.0,12882995.0,24,4.913743631000268,improving
2026-03-16/2026-03-22,209458.0,0.008263498645570045,206033.0,3425.0,7448530.0,24,-0.5250891628329861,declining
2026-03-23/2026-03-29,199736.0,0.002890741639526226,191016.0,8720.0,6363342.0,15,-0.046415033085391855,stable
2026-03-30/2026-04-05,189683.0,0.00257838949617853,185282.0,4401.0,6262491.0,29,-0.05033143749749669,stable
2026-04-06/2026-04-12,7579.0,0.03434464800213146,7390.0,189.0,662185.0,25,-0.9600438626550614,declining
2026-04-13/2026-04-19,29847.0,0.10089619992873063,28481.0,1366.0,1731334.0,26,2.9381184852882964,improving
2026-04-20/2026-04-26,77806.0,0.0801230324945475,76174.0,1632.0,4125130.0,32,1.606828156933695,improving
2026-04-27/2026-05-03,313870.0,0.028336680242383214,305213.0,8657.0,13185775.0,70,3.034007660077629,improving
2026-05-04/2026-05-10,24168.0,0.011518404676960617,23680.0,488.0,1496045.0,136,-0.9229999681396757,declining
