cluster_id,posts,engagement_rate,view_rate,comment_rate,top_post_type,top_time,cluster_label
6,29,0.6133644083335703,4.062143472227215,0.052821869239026924,reel,night,high-engagement storytellers
4,93,0.3585165467788179,2.6997203770652414,0.02979161578014604,reel,evening,reach-focused visuals
1,79,0.1970421619502431,2.8535746809940363,0.016181086670162492,reel,afternoon,discussion starters
2,120,0.14444971736127135,0.9803662333729046,0.013093085683695707,image,afternoon,promotion-heavy posts
5,113,0.11392180007222955,1.073511796246766,0.010810788400828953,image,afternoon,steady baseline content
8,61,0.08494278738970686,0.8353012651612535,0.007438926340760763,image,afternoon,niche audience posts
3,98,0.08383427193188747,0.8983067730738951,0.006499355506474125,image,afternoon,community updates
0,158,0.06790639939752245,0.8579441427319672,0.0055601046606265385,image,night,experimental formats
9,100,0.05505628918284731,0.5886065902073974,0.004174983740578783,image,night,cluster_8
7,149,0.04697051165051357,0.7191448610261555,0.003540772369732546,image,afternoon,cluster_9
