business_name,sector,followers_count,posts_count,engagement_mean,engagement_rate_mean,view_rate_mean,comment_rate_mean,promo_share,cta_share,location_share,dialect_share,discount_mean,video_share,reel_share,cluster_id,cluster_label
MIFTAH,Influencers,1100000.0,1,1508.0,0.001370909090909,0.038,1.6363636363636363e-05,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2,video-first builders
Mabella - مابيلا,Fashion,77000.0,9,106.44444444444444,0.0013823953823953559,0.06941269841269837,1.0101010101010101e-05,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2,video-first builders
Mazaj Oriental - مزاج الشرقي,Cafes/Restaurants,22800.0,16,340.4375,0.014931469298245568,0.542719298245614,0.00015899122807015218,1.0,0.8125,0.75,1.0,0.0,0.0,1.0,2,video-first builders
Mikkawi 1955,Fashion,55900.0,9,222.88888888888889,0.003987278870999755,4.718087855297157,2.186444046909163e-05,1.0,1.0,1.0,1.0,0.0,0.0,0.8888888888888888,2,video-first builders
Moath Kahlout,Influencers,1100000.0,1,1090.0,0.000990909090909,0.0,1.0909090909090907e-05,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,video-first builders
Motaz Azaiza,Influencers,15000000.0,20,63325.3,0.004221686666666645,0.16677666666666663,9.327666666665833e-05,0.05,0.1,0.55,0.15,0.0,0.0,1.0,6,emerging challengers
Motaz Foundation,Influencers,15000000.0,10,14887.1,0.00099247333333329,0.04993999999999996,1.5946666666666668e-05,0.0,0.2,0.5,0.1,0.0,0.0,1.0,6,emerging challengers
Noor Restaurant and Cafe,Cafes/Restaurants,44000.0,27,31.74074074074074,0.0009631986531986449,0.3334812794612795,3.057239057238822e-05,0.9629629629629629,0.7777777777777778,1.0,1.0,0.0,0.0,0.37037037037037035,2,video-first builders
Nour Alsaqa,Influencers,1100000.0,2,87075.0,0.0791590909090909,1.3063636363636364,0.0017045454545454,0.0,0.0,0.0,0.5,0.0,0.0,1.0,1,reach-focused brands
Orgada Burgers,Cafes/Restaurants,163000.0,9,22.333333333333332,0.0001370143149284114,0.0301976823449216,1.9768234492160055e-05,0.7777777777777778,0.4444444444444444,0.1111111111111111,1.0,0.0,0.0,0.4444444444444444,2,video-first builders
Pardo Cafe,Cafes/Restaurants,7400.0,3,65.33333333333333,0.008828828828828766,1.36990990990991,0.0,0.3333333333333333,1.0,1.0,0.0,0.0,0.0,1.0,2,video-first builders
Plestia Alaqad,Influencers,1100000.0,1,10610.0,0.0096454545454545,0.3109090909090909,0.0001,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,video-first builders
Pulse Gym & Fitness,Gym,6746.0,16,55.4375,0.00821783278980132,1.0550604061666173,0.0001111769937740625,0.125,0.125,0.0,0.6875,0.0,0.0,1.0,2,video-first builders
REXOS Café & Restaurant,Cafes/Restaurants,42000.0,25,261.08,0.0062161904761904455,0.05294285714285712,0.0005066666666666546,0.72,0.76,0.28,0.88,0.6,0.0,0.6,2,video-first builders
ROZAL,Fashion,76000.0,13,18.846153846153847,0.0002479757085020032,0.06232186234817808,2.0242914979750204e-05,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2,video-first builders
Robian Restaurant,Cafes/Restaurants,6500.0,20,236.3,0.036353846153846105,93.26923076923077,0.00052307692307689,0.8,0.9,0.9,1.0,0.0,0.0,0.35,0,discount-driven sellers
Ronza Elegant,Fashion,14000.0,12,10.0,0.000714285714285675,0.03862499999999996,2.9761904761901187e-05,1.0,0.75,0.4166666666666667,1.0,0.0,0.0,1.0,2,video-first builders
Shamsboutique,Fashion,739.0,14,5.714285714285714,0.007732456988208,3.379663638121013,0.0008699014111734,1.0,0.0,0.0,0.9285714285714286,0.0,0.0,1.0,2,video-first builders
